est,strt,code,ncode
Cabeza humeral I,Humerus_L,25929,
Cabeza humeral D,Humerus_R,25927,
Pulmón Izqdo,Lung_L,7310,
Pulmón Dcho,Lung_R,7309,
Médula,SpinalCord,7647,
Tiroides,Glnd_Thyroid,9603,
Corazón/pericard,Heart,7088,
Aurícula izqda,Atrium_L,7097,
Aurícula dcha,Atrium_R,7096,
Arteria pulmonar,A_Pulmonary,66326,
Arteria DA,A_LAD,3862,
Aorta ascendente,A_Aorta_Asc,3734,
Vena cava inf,V_Venacava_I,10951,
Vena cava sup,V_Venacava_S,4720,
Ventrículo dcho,Ventricle_R,7098,
Ventrículo izqdo,Ventricle_L,7101,
Mama izqda,Breast_L,268893,19910
Mama dcha,Breast_R,268893,19908
PRV DA,PRV_A_LAD,,
Vejiga,Bladder,15900,
Recto,Rectum,14544,
Intestino,Bowel_Small,7200,
Cabeza femoral I,Femur_Head_L,32843,
Cabeza femoral D,Femur_Head_R,32842,
Bulbo peneano,PenileBulb,19614,
via area,AirWay_Prox,,NO TIENE CÓDIGO
Corazón,Heart,7088,
Esófago,Esophagus,7131,
Médula,SpinalCord,7647,
Pulmón Dcho,Lung_R,7309,
Pulmón Izqdo,Lung_L,7310,
Pulmones,Lungs,68877,
Tiroides,Glnd_Thyroid,9603,
Tráquea,Trachea,7394,
via area,AirWay_Prox,,NO TIENE CÓDIGO
Corazón,Heart,7088,
Esófago,Esophagus,7131,
Médula,SpinalCord,7647,
Pulmón Dcho,Lung_R,7309,
Pulmón Izqdo,Lung_L,7310,
Pulmones,Lungs,68877,
Tiroides,Glnd_Thyroid,9603,
Tráquea,Trachea,7394,
PRV medula,SpinalCanal_PRVx,,
Plexo Braquial,BrachialPlex_R,45244,
Plexo Braquial,BrachialPlex_L,45244,45245
Piel,Skin,7163,
Pared Costal,Chestwall,71331,50060
Higado,Liver,7197,
Aorta,A_Aorta,3734,
Arteria Pulmonar,A_Pulmonary,66326,
Vena Cava Sup,V_Venacava_S,4720,
Vena Cava Inf,V_Venacava_I,10951,
Cristalino_I,Lens_L,58243,
Cristalino_D,Lens_R,58242,
Mandibula,Bone_Mandible,52748,
Médula,SpinalCord,7647,
N_optico_D,OpticNrv_R,50875,
N_optico_I,OpticNrv_L,50878,
Coclea_D,Cochlea_R,53641,60202
Coclea_I,Cochlea_L,,60203
Ojo_D,Eye_R,12514,
Ojo_I,Eye_L,12515,
Parotida_D,Parotid_R,59797,
Parotida_I,Parotid_L,59798,
Quiasma,OpticChiasm,62045,
Tiroides,Glnd_Thyroid,9603,
Tronco,Brainstem,79876,
ATM_D,Joint_TM_R,54833,
ATM_I,Joint_TM_L,54834,
Pulmon_D,Lung_R,7309,
Pulmon_I,Lung_L,7310,
Laringe,Larynx,55097,
Cerebro,Brain,50801,
Lob_Temporal_D,Lobe_Temporal_R,50801,72971
Lob_Temporal_I,Lobe_Temporal_L,50801,72972
Gland_subm_D,Glnd_Submand_R,59802,
Gland_subm_I,Glnd_Submand_L,59803,
Esofago,Esophagus,7131,
,Glnd_Lacrimal_R,59102,
,Glnd_Lacrimal_L,59103,
,Cavity_Oral,20292,
,Larynx_SG,55476,
,Musc_Constrict,46620,
,A_Carotid_R
,3941,
,A_Carotid_L,4058,
,BrachialPlex_R,45244,
,BrachialPlex_L,45245,
,Brainstem_PRV,,
,SpinalCord_PRV,,
,Pituitary,13889,
Tronco cerebral,Brainstem,79876,
Quiasma óptico,OpticChiasm,62045,
Nervio óptico D,OpticNrv_R,50875,
Nervio óptico I,OpticNrv_L,50878,
Ojo Dcho,Eye_R,12514,
Ojo Izqdo,Eye_L,12515,
Cristalino Dcho,Lens_R,58242,
Cristalino Izqdo,Lens_L,58243,
Hipófisis,Pituitary,13889,
Hipocampo,Hippocampus_R,275020,275022
Hipocampo,Hippocampus_L,275020,275024
Oido Dcho,Cochlea_R,53641,60202
Oido Izqdo,Cochlea_L,53642,60203
Médula,SpinalCord,7647,
Cerebro,Brain,50801,
Intestino,Bowel_Small,7200,
Hígado,Liver,7197,
Riñon dcho,Kidney_R,7204,
Riñon izqdo,Kidney_L,7205,
Pulmón dcho,Lung_R,7309,
Pulmón izqdo,Lung_L,7310,
Corazón,Heart,7088,
Médula,SpinalCord,7647,
Estómago,Stomach,7148,
Ao,A_Aorta,3734,
PV,V_Portal,66645,
CA,A_Celiac,12792,50737
SMA,A_Mesenteric_S,14749,
PJ,Pancreat_Jejun_A,,
Ambos pulmones,Lungs,68877,
Ambos riñones,Kidneys,264815,
Corazón,Heart,7088,
Estómago,Stomach,7148,
Hígado,Liver,7197,
Intestino,Bowel_Small,7200,
Médula,SpinalCord,7647,
Pulmón dcho,Lung_R,7309,
Pulmón izqdo,Lung_L,7310,
Riñon dcho,Kidney_R,7204,
Riñon izqdo,Kidney_L,7205,
Pared costal,Chestwall,50060,
Piel,Skin,7163,
Hígado Sano,Liver-CTV,,
Duodeno,Duodenum,,7206
Ambos riñones,Kidneys,,264815
Ambos pulmones,Lungs,,68877
Aorta,A_Aorta,,3734
